locality,date,value,year,month,variable
Wanang,1973-09-01,21.71,1973,9,tmin
Yapsiei,1973-09-01,22.220000000000002,1973,9,tmin
Elem,1973-10-01,21.390000000000004,1973,10,tmin
Morox,1973-10-01,21.28,1973,10,tmin
Niksek,1973-10-01,21.040000000000003,1973,10,tmin
Ohu,1973-10-01,20.910000000000004,1973,10,tmin
Utai,1973-10-01,20.450000000000003,1973,10,tmin
Wamangu,1973-10-01,19.950000000000003,1973,10,tmin
Wanang,1973-10-01,19.720000000000002,1973,10,tmin
Yapsiei,1973-10-01,19.96,1973,10,tmin
Elem,1973-11-01,20.51,1973,11,tmin
Morox,1973-11-01,20.360000000000003,1973,11,tmin
Niksek,1973-11-01,20.53,1973,11,tmin
Ohu,1973-11-01,20.930000000000003,1973,11,tmin
Utai,1973-11-01,23.12,1973,11,tmin
Wamangu,1973-11-01,22.820000000000004,1973,11,tmin
Wanang,1973-11-01,22.87,1973,11,tmin
Yapsiei,1973-11-01,22.590000000000003,1973,11,tmin
Elem,1973-12-01,22.380000000000003,1973,12,tmin
Morox,1973-12-01,22.140000000000004,1973,12,tmin
Niksek,1973-12-01,21.560000000000002,1973,12,tmin
Ohu,1973-12-01,22.060000000000002,1973,12,tmin
Utai,1973-12-01,22.480000000000004,1973,12,tmin
Wamangu,1973-12-01,22.540000000000003,1973,12,tmin
Wanang,1973-12-01,22.28,1973,12,tmin
Yapsiei,1973-12-01,22.630000000000003,1973,12,tmin
Elem,1974-01-01,19.790000000000003,1974,1,tmin
Morox,1974-01-01,19.78,1974,1,tmin
Niksek,1974-01-01,19.390000000000004,1974,1,tmin
Ohu,1974-01-01,19.8,1974,1,tmin
Utai,1974-01-01,19.770000000000003,1974,1,tmin
Wamangu,1974-01-01,18.78,1974,1,tmin
Wanang,1974-01-01,19.230000000000004,1974,1,tmin
Yapsiei,1974-01-01,19.790000000000003,1974,1,tmin
Elem,1974-02-01,20.180000000000003,1974,2,tmin
Morox,1974-02-01,20.000000000000004,1974,2,tmin
Niksek,1974-02-01,20.03,1974,2,tmin
Ohu,1974-02-01,19.840000000000003,1974,2,tmin
Utai,1974-02-01,21.430000000000003,1974,2,tmin
Wamangu,1974-02-01,21.330000000000002,1974,2,tmin
Wanang,1974-02-01,20.970000000000002,1974,2,tmin
Yapsiei,1974-02-01,21.46,1974,2,tmin
Elem,1974-03-01,21.69,1974,3,tmin
Morox,1974-03-01,20.53,1974,3,tmin
Niksek,1974-03-01,20.820000000000004,1974,3,tmin
Ohu,1974-03-01,21.37,1974,3,tmin
Utai,1974-03-01,21.630000000000003,1974,3,tmin
Wamangu,1974-03-01,21.680000000000003,1974,3,tmin
Wanang,1974-03-01,21.51,1974,3,tmin
Yapsiei,1974-03-01,21.500000000000004,1974,3,tmin
Elem,1974-04-01,20.900000000000002,1974,4,tmin
Morox,1974-04-01,20.680000000000003,1974,4,tmin
Niksek,1974-04-01,20.28,1974,4,tmin
Ohu,1974-04-01,20.67,1974,4,tmin
Utai,1974-04-01,20.96,1974,4,tmin
Wamangu,1974-04-01,20.070000000000004,1974,4,tmin
Wanang,1974-04-01,20.390000000000004,1974,4,tmin
Yapsiei,1974-04-01,20.570000000000004,1974,4,tmin
Elem,1974-05-01,21.37,1974,5,tmin
Morox,1974-05-01,21.250000000000004,1974,5,tmin
Niksek,1974-05-01,21.140000000000004,1974,5,tmin
Ohu,1974-05-01,21.020000000000003,1974,5,tmin
Utai,1974-05-01,21.37,1974,5,tmin
Wamangu,1974-05-01,21.500000000000004,1974,5,tmin
Wanang,1974-05-01,21.110000000000003,1974,5,tmin
Yapsiei,1974-05-01,21.660000000000004,1974,5,tmin
Elem,1974-06-01,21.300000000000004,1974,6,tmin
Morox,1974-06-01,20.380000000000003,1974,6,tmin
Niksek,1974-06-01,20.660000000000004,1974,6,tmin
Ohu,1974-06-01,20.890000000000004,1974,6,tmin
Utai,1974-06-01,21.540000000000003,1974,6,tmin
Wamangu,1974-06-01,21.62,1974,6,tmin
Wanang,1974-06-01,21.650000000000002,1974,6,tmin
Yapsiei,1974-06-01,21.640000000000004,1974,6,tmin
Elem,1974-07-01,21.500000000000004,1974,7,tmin
Morox,1974-07-01,21.570000000000004,1974,7,tmin
Niksek,1974-07-01,21.240000000000002,1974,7,tmin
Ohu,1974-07-01,21.840000000000003,1974,7,tmin
Utai,1974-07-01,21.880000000000003,1974,7,tmin
Wamangu,1974-07-01,20.640000000000004,1974,7,tmin
Wanang,1974-07-01,21.1,1974,7,tmin
Yapsiei,1974-07-01,21.71,1974,7,tmin
Elem,1974-08-01,22.150000000000002,1974,8,tmin
Morox,1974-08-01,22.060000000000002,1974,8,tmin
Niksek,1974-08-01,21.930000000000003,1974,8,tmin
Ohu,1974-08-01,21.880000000000003,1974,8,tmin
Utai,1974-08-01,21.650000000000002,1974,8,tmin
Wamangu,1974-08-01,21.560000000000002,1974,8,tmin
Wanang,1974-08-01,21.17,1974,8,tmin
Yapsiei,1974-08-01,21.820000000000004,1974,8,tmin
Elem,1974-09-01,21.990000000000002,1974,9,tmin
Morox,1974-09-01,20.790000000000003,1974,9,tmin
Niksek,1974-09-01,21.080000000000002,1974,9,tmin
Ohu,1974-09-01,21.650000000000002,1974,9,tmin
Utai,1974-09-01,21.96,1974,9,tmin
Wamangu,1974-09-01,21.930000000000003,1974,9,tmin
Wanang,1974-09-01,21.740000000000002,1974,9,tmin
Yapsiei,1974-09-01,21.730000000000004,1974,9,tmin
Elem,1974-10-01,20.590000000000003,1974,10,tmin
Morox,1974-10-01,20.490000000000002,1974,10,tmin
Niksek,1974-10-01,20.05,1974,10,tmin
Ohu,1974-10-01,20.51,1974,10,tmin
Utai,1974-10-01,20.35,1974,10,tmin
Wamangu,1974-10-01,18.96,1974,10,tmin
Wanang,1974-10-01,19.62,1974,10,tmin
Yapsiei,1974-10-01,20.05,1974,10,tmin
Elem,1974-11-01,20.69,1974,11,tmin
Morox,1974-11-01,20.640000000000004,1974,11,tmin
Niksek,1974-11-01,20.740000000000002,1974,11,tmin
Ohu,1974-11-01,20.53,1974,11,tmin
Utai,1974-11-01,22.520000000000003,1974,11,tmin
Wamangu,1974-11-01,22.250000000000004,1974,11,tmin
Wanang,1974-11-01,22.060000000000002,1974,11,tmin
Yapsiei,1974-11-01,22.21,1974,11,tmin
Elem,1974-12-01,22.160000000000004,1974,12,tmin
Morox,1974-12-01,21.110000000000003,1974,12,tmin
Niksek,1974-12-01,21.540000000000003,1974,12,tmin
Ohu,1974-12-01,21.67,1974,12,tmin
Utai,1974-12-01,22.580000000000002,1974,12,tmin
Wamangu,1974-12-01,22.71,1974,12,tmin
Wanang,1974-12-01,22.770000000000003,1974,12,tmin
Yapsiei,1974-12-01,22.630000000000003,1974,12,tmin
Elem,1975-01-01,20.040000000000003,1975,1,tmin
Morox,1975-01-01,19.78,1975,1,tmin
Niksek,1975-01-01,19.62,1975,1,tmin
Ohu,1975-01-01,19.92,1975,1,tmin
Utai,1975-01-01,19.78,1975,1,tmin
Wamangu,1975-01-01,19.480000000000004,1975,1,tmin
Wanang,1975-01-01,19.250000000000004,1975,1,tmin
Yapsiei,1975-01-01,19.790000000000003,1975,1,tmin
Elem,1975-02-01,20.180000000000003,1975,2,tmin
Morox,1975-02-01,20.1,1975,2,tmin
Niksek,1975-02-01,19.890000000000004,1975,2,tmin
Ohu,1975-02-01,19.930000000000003,1975,2,tmin
Utai,1975-02-01,21.630000000000003,1975,2,tmin
Wamangu,1975-02-01,21.230000000000004,1975,2,tmin
Wanang,1975-02-01,21.270000000000003,1975,2,tmin
Yapsiei,1975-02-01,21.62,1975,2,tmin
Elem,1975-03-01,21.640000000000004,1975,3,tmin
Morox,1975-03-01,21.230000000000004,1975,3,tmin
Niksek,1975-03-01,20.840000000000003,1975,3,tmin
Ohu,1975-03-01,21.270000000000003,1975,3,tmin
